ResursId,Produktnamn,Kategori,Version,Uppdaterad,"A1-A3 resursens klimatpåverkan, konservativt värde",A4 transporters klimatpåverkan GWP-GHG,"A5 byggspills klimatpåverkan GWP-GHG, konservativt värde",Enhet för klimatpåverkan,"A1-A3 byggproduktens klimatpåverkan GWP-GHG, typiskt värde","Energislagets klimatpåverkan GWP-GHG, typiskt värde",A1-A3 faktor för konservativa värden,A5 faktor för byggspill,Teknisk livslängd,Omräkningsfaktor,Enhet för omräkningsfaktor,Beräknat biogeniskt kol,Produktstandard,Komponentkod enligt BK04,Komponentnamn enligt BK04,Produktens användningsområde,Användning av klimatdata,Bakgrund till värdet A1-A3 resursens klimatpåverkan,Teknisk beskrivning,Bakgrund till värdet A4 transport,Konsumtion på svenska marknaden,Kommentar till teknisk livslängd,Beskrivning av byggproduktens insamlade information över tid,Föreslagna generiska värden,Transporttyp Närdistribution,Bränsle Närdistribution,Avstånd(km) Närdistribution, MJ/Tonkm Närdistribution,Transporttyp Fabrik till byggarbetsplats,Bränsle Fabrik till byggarbetsplats,Avstånd(km) Fabrik till byggarbetsplats, MJ/Tonkm Fabrik till byggarbetsplats,Transporttyp Import till gräns/lager,Bränsle Import till gräns/lager,Avstånd(km) Import till gräns/lager, MJ/Tonkm Import till gräns/lager,Transporttyp Fabrik till återförsäljare/lager,Bränsle Fabrik till återförsäljare/lager,Avstånd(km) Fabrik till återförsäljare/lager, MJ/Tonkm Fabrik till återförsäljare/lager,Transporttyp Från gräns/lager till återförsäljare eller byggarbetsplats,Bränsle Från gräns/lager till återförsäljare eller byggarbetsplats,Avstånd(km) Från gräns/lager till återförsäljare eller byggarbetsplats, MJ/Tonkm Från gräns/lager till återförsäljare eller byggarbetsplats
6000000000,Spånskiva,Byggskivor,02.06.000,2024-12-12,0.488,0.0487,0.0536,kg CO₂e/kg,0.39,,1.25,1.1,>50 år,700.0,kg/m³,0.4,EN 312:2010,01208,Spånskivor,"Standard spånskiva används vanligtvis som ytmaterial i en skyddad miljö, dvs. vanligtvis inomhus",Data är representativa för en spånskivan för byggnadamål utan särskilda behandlings- eller tillsatsmaterial. Om ett sådan variant av skivan används kan en EPD användas om sådan finns eller så kan dessa data användas som proxy.,"GWP-GHG (A1-A3) för standardspånskivor varierar vanligtvis mellan 0,35-0,45 kg CO₂e/kg baserat på nordiska och mellan-europeiska EPD. Genomsnittliga datavärden är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Norge och Finland",Spånskivor är gjorda av träspån och lim som pressats samman. Mängden lim är mindre än 10 %. Biprodukter från tillverkning av sågat virke används vid tillverkning av spånskivor. Densiteter varierar mellan 650 och 750 kg/m³.,"Påverkan baseras på en transport med lastbil (1 MJ/ton km), 600 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av inhemska producenter, men betydande import sker från (i relativ ordning): Norge, Finland och Europa.",Livslängden för produkten är normalt lika med livslängden för den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på marknaden. Uppgifterna är giltiga tills nya publiceras,"En spånskiva kan ha olika behandling, beläggning etc. som är tillämplig på olika applikationer som inte beaktas här utan gäller för en standardprodukt","Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",600,1,,,0,0
6000000001,"Glasull, skivor och rullar",Isolering,02.06.000,2024-12-12,1.11,0.0348,0.0803,kg CO₂e/kg,0.89,,1.25,1.07,>50 år,18.7,kg/m³,,EN 13162,01301,Mineralull,Glasull används som värmeisolering och ibland också som ljudisolering eller som en kombinerad funktion. Glasull är avsedd för användning används i en skyddad miljö.,"Data är representativa för produkttypen glasull, av skivor och rullar. Dessa regelskivor omfattar alla typer som inte innehåller någon ytbeläggning etc. Om ytbeläggning ingår bör ett mer exakt data väljas och sådana produkter har normalt en något högre miljöpåverkan per kg.","GWP-GHG (A1-A3) gäller för icke-belagd glasull, skivor och rullar. GWP kan variera mellan 0,7-1,6 kg CO₂e/kg baserat på tillverkare. De genomsnittliga datavärdena är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Tyskland och Polen","Glasull produceras i en elektrisk ugn och processen inkluderar också ytterligare energivaror som tillsammans med primär råvara som används bidrar till GWP. Mängden återvunnet glas som råvara varierar mellan 40 och 80 %. Mängden bindemedel är cirka 5 till 10 %. Det är en mindre variation av densiteten för samma lambda-värde mellan olika tillverkare, men värdena på densitet som anges här och lambda-värdet är representativa för de produkter som används på den svenska marknaden.","Påverkan baseras på en transport med lastbil (1 MJ/ton km), 400 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av en nationell producent, men betydande import sker från (i relativ ordning): Tyskland, Polen och Europa",Livslängden är normalt lika med den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på  den svenska marknaden,För att bedöma värmeisolering måste lambdavärdet användas i kombination med att olika produktalternativ har olika densiteter. Med andra ord kan värmeisolering inte jämföras per kg utan i en given byggtillämpning. Materialdata för den generiska resursen är enligt följande: densitet 18.7 kg/m³ och lambda-värde 0.035 W/(mK),"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",400,1,,,0,0
6000000002,"Glasull, fasadskivor",Isolering,02.06.000,2024-12-12,1.08,0.0348,0.0777,kg CO₂e/kg,0.86,,1.25,1.07,>50 år,55.0,kg/m³,,EN 13162,01301,Mineralull,Glasull används som värmeisolering och ibland också som ljudisolering eller som en kombinerad funktion. Glasull är avsedd för användning används i en skyddad miljö.,"Data är representativa för produkttypen fasadskivor av glasull, som inte innehåller någon ytbeläggning etc. Om ytbeläggning ingår bör ett mer exakt och exakt data väljas och sådana produkter har normalt en något högre inverkan per kg","GWP-GHG (A1-A3) gäller för icke-belagd glasull, skivor och rullar. GWP kan variera mellan 0,7-1,6 kg CO₂e/kg baserat på tillverkare. De genomsnittliga datavärdena är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Tyskland och Polen.","Glasull produceras i en elektrisk ugn och processen inkluderar också ytterligare energivaror som tillsammans med primär råvara som används bidrar till GWP. Mängden återvunnet glas som råvara varierar mellan 40 och 80 %. Mängden bindemedel är cirka 5 till 10 %. Det är en mindre variation av densiteten för samma lambda-värde mellan olika tillverkare, men värdena på densitet som anges här och lambda-värdet är representativa för de produkter som används på den svenska marknaden.","Påverkan baseras på en transport med lastbil (1 MJ/ton km), 400 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av en nationell producent, men betydande import sker från (i relativ ordning): Tyskland, Polen och Europa",Livslängden är normalt lika med den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på den svenska marknaden,För att bedöma värmeisolering måste lambdavärdet användas i kombination med att olika produktalternativ har olika densiteter. Med andra ord kan värmeisolering inte jämföras per kg utan i en given byggtillämpning. Materialdata för den generiska resursen är enligt följande: densitet 55 kg/m³ och lambda-värde 0.031 W/(mK),"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",400,1,,,0,0
6000000003,"Glasull, lösull, väggar",Isolering,02.06.000,2024-12-12,1.2,0.0348,0.0123,kg CO₂e/kg,0.96,,1.25,1.01,>50 år,30.0,kg/m³,,EN 13162,01301,Mineralull,Glasull används som värmeisolering och ibland också som ljudisolering eller som en kombinerad funktion. Glasull är avsedd för användning används i en skyddad miljö,Data är representativa för produkttypen lösull av glasull som används i väggar.,"GWP-GHG (A1-A3) gäller för lösull. GWP kan generellt sett variera mellan 0,7-1,6 kg CO₂e/kg baserat på tillverkare. De genomsnittliga datavärdena är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Tyskland och Polen","Glasull produceras i en elektrisk ugn och processen inkluderar också ytterligare energivaror som tillsammans med primär råvara som används bidrar till GWP. Mängden återvunnet glas som råvara varierar mellan 40 och 80 %. Mängden bindemedel är cirka 5 till 10 %. Det är en mindre variation av densiteten för samma lambda-värde mellan olika tillverkare, men värdena på densitet som anges här och lambda-värdet är representativa för de produkter som används på den svenska marknaden.","Påverkan baseras på en transport med lastbil (1 MJ/ton km), 400 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av en nationell producent, men betydande import sker från (i relativ ordning): Tyskland, Polen och Europa",Livslängden är normalt lika med den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på den svenska marknaden,För att bedöma värmeisolering måste lambdavärdet användas i kombination med att olika produktalternativ har olika densiteter. Med andra ord kan värmeisolering inte jämföras per kg utan i en given byggtillämpning. Materialdata för den generiska resursen är enligt följande: densitet 30 kg/m³ och lambda-värde 0.034 W/(mK),"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",400,1,,,0,0
6000000004,"Glasull, lösull, bjälklag",Isolering,02.06.000,2024-12-12,1.13,0.0348,0.0116,kg CO₂e/kg,0.9,,1.25,1.01,>50 år,26.0,kg/m³,,EN 13162,01301,Mineralull,Glasull används som värmeisolering och ibland också som ljudisolering eller som en kombinerad funktion. Glasull är avsedd för användning används i en skyddad miljö.,Data är representativa för produkttypen lösull av glasull som används i golvbjälklag.,"GWP-GHG (A1-A3) gäller för lösull. GWP kan generellt sett variera mellan 0,7-1,6 kg CO₂e/kg baserat på tillverkare. De genomsnittliga datavärdena är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Tyskland och Polen","Glasull produceras i en elektrisk ugn och processen inkluderar också ytterligare energivaror som tillsammans med primär råvara som används bidrar till GWP. Mängden återvunnet glas som råvara varierar mellan 40 och 80 %. Mängden bindemedel är cirka 5 till 10 %. Det är en mindre variation av densiteten för samma lambda-värde mellan olika tillverkare, men värdena på densitet som anges här och lambda-värdet är representativa för de produkter som används på den svenska marknaden.","Påverkan baseras på en transport med lastbil (1 MJ/ton km), 400 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av en nationell producent, men betydande import sker från (i relativ ordning): Tyskland, Polen och Europa",Livslängden är normalt lika med den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på den svenska marknaden,För att bedöma värmeisolering måste lambdavärdet användas i kombination med att olika produktalternativ har olika densiteter. Med andra ord kan värmeisolering inte jämföras per kg utan i en given byggtillämpning. Materialdata för den generiska resursen är enligt följande: densitet 26 kg/m³ och lambda-värde 0.034 W/(mK),"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",400,1,,,0,0
6000000005,"Glasull, lösull, vindsbjälklag",Isolering,02.06.000,2024-12-12,1.13,0.0348,0.0116,kg CO₂e/kg,0.9,,1.25,1.01,>50 år,15.0,kg/m³,,EN 13162,01301,Mineralull,Glasull används som värmeisolering och ibland också som ljudisolering eller som en kombinerad funktion. Glasull är avsedd för användning används i en skyddad miljö.,Data är representativa för produkttypen lösull av glasull som används på vindsbjälklag.,"GWP-GHG (A1-A3) gäller för lösull. GWP kan generellt sett variera mellan 0,7-1,6 kg CO₂e/kg baserat på tillverkare. De genomsnittliga datavärdena är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Tyskland och Polen","Glasull produceras i en elektrisk ugn och processen inkluderar också ytterligare energivaror som tillsammans med primär råvara som används bidrar till GWP. Mängden återvunnet glas som råvara varierar mellan 40 och 80 %. Mängden bindemedel är cirka 5 till 10 %. Det är en mindre variation av densiteten för samma lambda-värde mellan olika tillverkare, men värdena på densitet som anges här och lambda-värdet är representativa för de produkter som används på den svenska marknaden.","Påverkan baseras på en transport med lastbil (1 MJ/ton km), 400 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av en nationell producent, men betydande import sker från (i relativ ordning): Tyskland, Polen och Europa",Livslängden är normalt lika med den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på den svenska marknaden,För att bedöma värmeisolering måste lambdavärdet användas i kombination med att olika produktalternativ har olika densiteter. Med andra ord kan värmeisolering inte jämföras per kg utan i en given byggtillämpning. Materialdata för den generiska resursen är enligt följande: densitet 15 kg/m³ och lambda-värde 0.042 W/(mK),"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",400,1,,,0,0
6000000006,"Glasull, ljudisolering ",Isolering,02.06.000,2024-12-12,1.49,0.0348,0.107,kg CO₂e/kg,1.19,,1.25,1.07,>50 år,14.0,kg/m³,,EN 13162,01301,Mineralull,"Glasull används normalt som värmeisolering, men denna produkttyp används främst som ljudisolering. Glasull är avsedd för användning används i en skyddad miljö.",Data är representativa för ljudisolering av glasull som skivor och rullar.,"GWP-GHG (A1-A3) gäller för ljudisolering. GWP kan generellt sett variera mellan 0,7-1,6 kg CO₂e/kg baserat på tillverkare. De genomsnittliga datavärdena är baserade på EPD från följande länder (i ordning efter antagen marknadsandel): Sverige, Tyskland och Polen","Glasull produceras i en elektrisk ugn och processen inkluderar också ytterligare energivaror som tillsammans med primär råvara som används bidrar till GWP. Mängden återvunnet glas som råvara varierar mellan 40 och 80 %. Mängden bindemedel är cirka 5 till 10 %. Det är en mindre variation av densiteten för samma lambda-värde mellan olika tillverkare, men värdena på densitet som anges här och lambda-värdet är representativa för de produkter som används på den svenska marknaden.","Påverkan baseras på en transport med lastbil (1 MJ/ton km), 400 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.","Konsumtionen i Sverige domineras av en nationell producent, men betydande import sker från (i relativ ordning): Tyskland, Polen och Europa",Livslängden är normalt lika med den konstruktion den är en del av,Uppgifterna är representativa för tillverkningsprocessen och produkter som för närvarande konsumeras på den svenska marknaden,För att bedöma bullerreduktion måste produktens luftflödesmotstånd redovisas etc.,"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",400,1,,,0,0
6000000007,"Sågat virke, u 16 %, barrträ",Trävaror,02.06.000,2024-12-12,0.08,0.0174,0.00974,kg CO₂e/kg,0.064,,1.25,1.1,>50 år,455.0,kg/m³,0.4,,02001,Sågat virke,"Sågat virke kan användas direkt som det är och används som råvara till impregnerat virke eller när det hyvlats som råvara för andra träbaserade produkter. Sågade trävaror används i byggnadsverk till formvirke och konstruktionsvirke till så kallat beklädnadsvirke för paneler, samt som hyvlat till golvträ eller snickerivirke till fönster, dörrar och inredningar osv. Virket förädlas vanligtvis genom hyvling, profilering, limning, fingerskarvning eller impregnering beroende på hur det ska användas till.","Data är representativa för sågat torkade virke och kan användas som det är, men används främst som råvara vid hyvlat träproduktion. ",Inventeringen omfattar 44 sågverk och täcker produktionen av 10 190 000 m³ sågat torkat virke. Data för att producera sågat virke har samlats in från ett representativt urval av sågverk i Sverige och har sedan viktas till ett produktionsbaserat genomsnitt.  Sågat torkat virke som produceras i Sverige baserat nästan uteslutande på inhemska vedråvara. GWP-GHG (A1-A3) för sågad vara varierar mellan 24-37 kg CO₂e/m³ bland de företag som bidragit med data (baserat på den inventeringsmetodik samt inventeringsdata som använts).,Miljöpåverkan är baserad på en sektor EPD som täcker 58 % av det totala sågade virket i Sverige. Torkat sågat virke har en genomsnittlig densitet på 455 kg/m³ och en fukthalt på 16 %. Sågat torkat gran har en genomsnittlig densitet på 470 kg/m³ och 440 kg / m³ för tall. Fuktinnehållet för det torkade virket är cirka 12-18%.  Biogent kol bundet i den sågade varan är 715 kg CO₂/m³. ,"Miljöpåverkan baseras på en transport med lastbil (1 MJ/ton km), 150 km och 40 km lastbil (2,5 MJ/ton km). Svensk dieselmix används.",Konsumtionen i Sverige domineras av nationella producent varför de underlagsdata som används från svenska sågverk kan anses representativa för denna konsumtion.,Livslängden för trä inomhus är normalt lika med konstruktionen den är en del av. Trä i i utomhusmiljöer behöver normalt underhåll under dess 50 års livslängd.,"Uppgifterna är representativa för de största producenterna och därmed den största konsumtionen av sågat virke som används i Sverige. Dessa data representerar året 2020, dvs. efter det att reduktionsplikten av diesel implementerades, varför rapporterade GWP är lägre äm tidigare.",När produkten jämförs med andra material eller materialkombinationer ska bedömningen göras i den avsedda användningen och i ett livscykelperspektiv.,"Lastbil, närdistribution","Diesel, reduktionsplikt",40,2.5,,,0,0,,,0,0,"Lastbil, landsväg","Diesel, reduktionsplikt",150,1,,,0,0
6000000008,"Elektricitet, svensk elmix",Energi och bränsle,02.06.000,2022-12-21,,,,kg CO₂e/kWh,,0.037,,,,,kWh,,EN 15804 A1,195,Elektricitet,El köps från elnätet för flera olika ändamål.,Data är svensk elmix med hänsyn taget till export och import.,"GWP-GHG är ett medelvärde från 2015 till 2017 och baseras på årliga statistiken som publiceras av Entso-E . Elmixens klimatpåverkan har beräknats med den metodik som använd i bränslekvalitetsdirektivet 98/70/EC och med hänsyn till förtydligande i ett kompletterande direktiv (EC) 2015/652 som hanterar om fastställande av beräkningsmetoder och rapporteringskrav för bränslen, samt förnybarhetsdirektivet (EU) 2018/2001. Beräkningarna följer därmed både EN 15804 och på det sätt Energimyndigheten anser att man ska redovisa miljöpåverkan från elproduktion och användning av olika bränslen och andra energibärare. Se IVL rapport nr C433 för mer information.","Beräkningarna är utförda i LCA-verktyget Gabi och uppströms LCA-data för el, baserat på processer som är representativa för de anläggningar som finns i Sverige. Miljöpåverkan beräknas som årlig produktion med hänsyn taget till import och export. Det gör att utsläppen skiljer sig mellan åren, varför det är vanligt att rekommendera ett flytande tre års medelvärde för denna typ av processer. ",Inte relevant,Inte relevant,Inte relevant,Data is reprecentative for åren 2015 to 2017,"Olika inventeringsmetoder används, varför andra LCA-data kanske inte är jämförbara med den metod som används här.",,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
6000000010,"Diesel, reduktionsplikt (2023)",Energi och bränsle,02.06.000,2024-12-20,,,,kg CO₂e/MJ,,0.0695,,,,35.4,MJ/Liter,,EN 15804 A1,19201,Bränsle,"Diesel köps och förbränns i olika maskiner och fordon, dvs omfattar WtW (Well to Wheel)",Miljödata är representativa för den diesel som köps i Sverige. Dieselns klimatpåverkan styrs av reduktionsplikten och ökat inslag biobränsle som bestäms av riksdagen. Energimyndigheten har tagit fram en ny föreskrift STEMFS (2018:02) om reduktion av växthusgasutsläpp genom inblandning av biodrivmedel i bensin och dieselbränslen.,"Klimatpåverkan från Diesel MK1 var 69,5 g CO₂e/MJ, energiandelen förnybart var 29,8 procent år 2023 (Energimyndigheten Drivmedel 2023).
","Vid beräkningen av växthusgasutsläpp enligt reduktionsplikten utgår man ifrån de standardvärden för de fossila drivmedlen som fastställts i ett tilläggsdirektiv till bränslekvalitetsdirektivet 2015/652/EU och en inblandning av förnybart. Dessa värden är:
• Bensin 93,3 g CO₂e/MJ
• Diesel 95,1 g CO₂e/MJ
• HVO 6,2 g CO₂e/MJ som biokomponent för reduktionspliktiga drivmedel år 2021 (ER2022:08) 
• FAME 22,9 g CO₂e/MJ som biokomponent för reduktionspliktiga drivmedel år 2021 (ER2022:08)",Inte relevant,Uppgifterna är representativa för diesel som köps i Sverige. Om HVO100 eller importerad diesel används ska andra uppgifter användas.,Inte relevant,Uppgifterna är representativa för år 2023,"Beräkningsmetoden följer förnybarhetsdirektivet (RED) 2018/2001/EU och i ett tilläggsdirektiv till bränslekvalitetsdirektivet EU 2015/652. Det finns dock en skillnad mellan dessa direktiv, jämfört med de övergripande produktberäkningsreglerna för byggprodukter (EN 15804). Den största skillnaden är att i EN15804 används en ekonomisk allokeringsmetod för processavfall, varför bränslen baserade på denna typ av råvaror skulle resultera i ett högre värde om EN 15804 följdes. Denna skillnad är inte relevant för de LCA-värde som anges här, men kan uppstå om dessa uppgifter ersätts med specifika LCA-data från en tillverkare som följer EG-direktiven.",,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
