Produktnamn,Kategori,"A1-A3 resursens klimatpåverkan, konservativt värde",A4 transporters klimatpåverkan GWP-GHG,"A5 byggspills klimatpåverkan GWP-GHG, konservativt värde",Enhet för klimatpåverkan,Omräkningsfaktor,Enhet för omräkningsfaktor
Chipboard,Building boards,0.488,0.0487,0.0536,kg CO₂e/kg,700.0,kg/m³
"Glass wool, slices and rolls",Insulation,1.11,0.0348,0.0803,kg CO₂e/kg,18.7,kg/m³
"Glass wool, facade slices",Insulation,1.08,0.0348,0.0777,kg CO₂e/kg,55.0,kg/m³
"Glass wool, loose wool, walls",Insulation,1.2,0.0348,0.0123,kg CO₂e/kg,30.0,kg/m³
"Glass wool, loose wool, joist",Insulation,1.13,0.0348,0.0116,kg CO₂e/kg,26.0,kg/m³
"Glass wool, loose wool, attic",Insulation,1.13,0.0348,0.0116,kg CO₂e/kg,15.0,kg/m³
"Glass wool, sound insulation",Insulation,1.49,0.0348,0.107,kg CO₂e/kg,14.0,kg/m³
"Sawn timber, u 16 %, coniferous wood",Timber,0.08,0.0174,0.00974,kg CO₂e/kg,455.0,kg/m³
"Plasterboard, windscreen",Building boards,0.333,0.0243,0.0428,kg CO₂e/kg,760.0,kg/m³
"Plasterboard, fire disc",Building boards,0.32,0.0243,0.0413,kg CO₂e/kg,830.0,kg/m³
"Plasterboard, wet room plate",Building boards,0.325,0.0243,0.0419,kg CO₂e/kg,760.0,kg/m³
"Plasterboard, floorboard",Building boards,0.296,0.0243,0.0385,kg CO₂e/kg,1120.0,kg/m³
"Plasterboard, default disc",Building boards,0.284,0.0243,0.037,kg CO₂e/kg,710.0,kg/m³
"Plasterboard, hard disk",Building boards,0.3,0.0243,0.0389,kg CO₂e/kg,930.0,kg/m³
Fibergip disc with cellulose fiber,Building boards,0.495,0.0765,0.0686,kg CO₂e/kg,1180.0,kg/m³
Plywood,Building boards,0.448,0.0417,0.0489,kg CO₂e/kg,460.0,kg/m³
Osb,Building boards,0.448,0.0626,0.051,kg CO₂e/kg,607.0,kg/m³
"Factory concrete, house building C20/25",Concrete,0.122,0.0036,0.00377,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate Enhanced C20/25",Concrete,0.0913,0.0036,0.00285,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building climate -enhanced C25/30",Concrete,0.0963,0.0036,0.003,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C25/30",Concrete,0.129,0.0036,0.00397,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C28/35",Concrete,0.136,0.0036,0.0042,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate Enhanced C28/35",Concrete,0.102,0.0036,0.00318,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C30/37",Concrete,0.145,0.0036,0.00446,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate Enhanced C30/37",Concrete,0.108,0.0036,0.00336,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate -Enhanced C32/40",Concrete,0.111,0.0036,0.00343,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C32/40",Concrete,0.148,0.0036,0.00453,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C35/45",Concrete,0.163,0.0036,0.00498,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate -Enhanced C35/45",Concrete,0.122,0.0036,0.00378,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C40/50",Concrete,0.175,0.0036,0.00536,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate Enhanced C40/50",Concrete,0.131,0.0036,0.00405,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate -Enhanced C45/55",Concrete,0.143,0.0036,0.00438,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C45/55",Concrete,0.189,0.0036,0.00577,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C50/60",Concrete,0.204,0.0036,0.00622,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate Enhanced C50/60",Concrete,0.153,0.0036,0.00468,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate -Enhanced C55/67",Concrete,0.165,0.0036,0.00506,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C55/67",Concrete,0.22,0.0036,0.00671,kg CO₂e/kg,2350.0,kg/m³
"Factory concrete, house building C60/75",Concrete,0.23,0.0036,0.00701,kg CO₂e/kg,2350.0,kg/m³
"Factory Concrete, House Building Climate Established C60/75",Concrete,0.173,0.0036,0.00528,kg CO₂e/kg,2350.0,kg/m³
"Tt-plates, tt, tt/f and stt/f",Concrete,0.274,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"TT plates, TT, TT/F and STT/F, Climate Enhanced",Concrete,0.206,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
Wall/outer disc,Concrete,0.229,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Wall/outer board, climate -enhanced",Concrete,0.171,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Inner wall, V, climate -enhanced",Concrete,0.146,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Inner wall, v",Concrete,0.195,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m²
"Half -sandwich walls, we",Concrete,0.256,0.0417,0.0,kg CO₂e/kg,1300.0,kg/m³
"Half -sandwich walls, VI, climate -enhanced",Concrete,0.238,0.0417,0.0,kg CO₂e/kg,1300.0,kg/m³
"Sandwich walls, W, climate -enhanced",Concrete,0.219,0.0417,0.0,kg CO₂e/kg,1360.0,kg/m³
"Sandwich walls, w",Concrete,0.291,0.0417,0.0,kg CO₂e/kg,1360.0,kg/m³
"Hole joists, hd/f",Concrete,0.188,0.0417,0.0,kg CO₂e/kg,1350.0,kg/m³
"Hole joists, HD/F, climate -enhanced",Concrete,0.128,0.0417,0.0,kg CO₂e/kg,1350.0,kg/m³
"Solid plates, RD, RD/F.",Concrete,0.229,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Massive plates RD, RD/F, Climate Enhanced",Concrete,0.171,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Plattelars, ple",Concrete,0.23,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Flat, PLE, climate -enhanced",Concrete,0.173,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Small wall, Vs",Concrete,0.23,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Small wall, VS, climate -enhanced",Concrete,0.173,0.0348,0.0,kg CO₂e/kg,2400.0,kg/m³
"Pillar rp, op",Concrete,0.298,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Pillar rp, op, climate -enhanced",Concrete,0.224,0.0417,0.0,kg CO₂e/kg,2400.0,kg/m³
"Beams B, slack reinforced",Concrete,0.248,0.0417,0.0,kg CO₂e/kg,2460.0,kg/m³
